pos,word
차이남/NNG,차이난다
벙벙/XR,벙벙하다
철렁/MAG,철렁하다
철렁/NNG,철렁하다
충격/NNG,충격
불/XPN+균형/NNG,불균형적
불균형/NNG,불균형적
칙칙/XR,칙칙하다
칙칙/VA,칙칙하다
칙칙/NNG,칙칙하다
불량/NNG,불량
불/XPN+만족/NNG,불만족하다
불만족/NNG,불만족하다
코웃음/NNG,코웃음치다
콧웃음/UNKNOWN,코웃음치다
코/NNG+웃음/NNG,코웃음치다
불분명/XR,불분명하다
탁하/VA,탁하다
탁한/VA,탁하다
탁했/VA,탁하다
탁해/VA,탁하다
탁할/VA,탁하다
탁함/NNG,탁하다
불/XPN+유쾌/NNG,불유쾌하다
투박/XR,투박하다
투박/NNG,투박하다
펑퍼짐/XR,펑퍼짐하다
펑퍼/VA,펑퍼짐하다
펑퍼짐/NNG,펑퍼짐하다
불편/NNG,불편
비딱/XR,비딱하다
비딱/NNG,비딱하다
비뚤/MAG,비뚤비뚤하다
비뚤비뚤/MAG,비뚤비뚤하다
비아냥거리/VV,비아냥거리다
비아냥/XR,비아냥거리다
비아냥/NNG,비아냥거리다
해괴/XR,해괴하다
해괴/NNG,해괴하다
비좁/VA,비좁다
허술/XR,허술하다
허접/XR,허접하다
허접/NNG,허접하다
빈약/NNG,빈약하다
빈정거리/VV,빈정거리다
빈정/NNG+거리/NNG,빈정거리다
빈정/NNG+거리/XSV,빈정거리다
빈정거린/VV,빈정거리다
빈정거릴/VV,빈정거리다
빈정거렸/VV,빈정거리다
빈정/NNG+거린/XSV,빈정거리다
빈정/NNG+거릴/XSV,빈정거리다
빈정/NNG+거렸/XSV,빈정거리다
빈정거림/NNG,빈정거리다
헐겁/VA,헐겁다
헐거/VA,헐겁다
헐거움/NNG,헐겁다
빈티/NNG,빈티나다
헐렁/XR,헐렁하다
헐렁함/NNG,헐렁하다
혐오/NNG,혐오하다
빡빡/XR,빡빡하다
형편없/VA,형편없다
형편/NNG+없/VA,형편없다
형편없음/NNG,형편없다
형편/NNG+없음/NNG,형편없다
혼란/NNG,혼란스럽다
후덕/NNG,후덕하다
후줄근/XR,후줄근하다
후줄근/NNG,후줄근하다
뾰족/MAG,뾰족하다
뿌옇/VA,뿌옇다
뿌여/VA,뿌옇다
뿌얘/VA,뿌옇다
삐딱/XR,삐딱하다
삐딱/NNG,삐딱하다
흉측/NNG,흉측하다
삐뚤/MAG,삐뚤삐뚤하다
삐뚤삐뚤/MAG,삐뚤삐뚤하다
흉하/VA,흉하다
흉했/VA,흉하다
흉할/VA,흉하다
흉한/VA,흉하다
흉함/NNG,흉하다
흠/NNG,흠
산만/XR,산만하다
산만/NNG,산만하다
서투/VA,서투르다
서툴/VA,서투르다
서툼/NNG,서투르다
성급/NNG,성급하다
성급/XR,성급하다
가관/NNG,가관이다
수치/NNG+스럽/XSA,수치스럽다
수치/NNG+스러/XSA,수치스럽다
수치스럽/VA,수치스럽다
수치스러/VA,수치스럽다
수치감/NNG,수치스럽다
수치/NNG+감/XSN,수치스럽다
수치스러움/NNG,수치스럽다
가소/NNG+롭/XSA,가소롭다
가소롭/VA,가소롭다
가소로/VA,가소롭다
가소/NNG+로/XSA,가소롭다
가소로움/NNG,가소롭다
시덥/NNG,시덥잖다
시덥/VA,시덥잖다
시원찮/VA,시원찮다
